Car Index,Station Index,Arrival Time,,,,Velocity,Position
3,1,222.2793419,,,,1.793572865,229.2676196
3,2,236.3993056,,,,2.006679495,20.18199688
3,3,250.4722888,,,,2.095241424,49.77536555
3,4,262.2411491,,,,2.712458709,78.23667748
3,5,277.2455411,,,,1.664337643,107.4179835
3,6,290.2415396,,,,2.668625286,134.9763663
3,7,304.0033599,,,,2.085785894,164.1590516
3,8,317.4966255,,,,2.352320783,198.2370455
3,1,329.7333626,,,,1.582903853,228.5708836
3,2,342.8091165,,,,2.41162766,27.75174094
3,3,359.8766283,,,,2.321699181,56.21868509
3,4,377.8698224,,,,2.626577652,86.21288248
3,5,393.5542946,,,,2.531881053,113.2894734
3,6,410.7916572,,,,1.555708503,134.9046915
3,7,426.1690695,,,,1.77774087,162.7192134
3,2,440.4635444,,,,2.07186988,201.25
3,1,454.9257585,,,,2.822871564,0
3,2,469.6932086,,,,2.636569232,24.35967133
3,5,484.9364639,,,,2.284188401,57.5
3,5,502.2566824,,,,2.791132946,86.25
3,5,516.2570431,,,,2.8462742,109.146759
3,6,529.9146916,,,,2.383862842,139.7353459
3,7,546.0701925,,,,1.718924052,165.2864898
3,1,558.1645188,,,,2.407506602,201.25
3,1,571.7144925,,,,2.398591913,229.9047383
3,2,587.4833511,,,,2.025827031,28.75
3,3,601.5017251,,,,2.298778389,54.88016681
3,4,616.1197204,,,,1.839154699,86.25
3,5,632.00842,,,,1.661799803,110.7062931
3,6,646.2082062,,,,1.89660947,143.75
3,7,660.4909302,,,,2.966167174,165.7280825
3,8,673.1530558,,,,1.893963449,198.6888969
3,2,688.861405,,,,1.48067569,0
3,3,709.1322126,,,,2.0021531,28.75
3,3,725.3344761,,,,2.545757979,57.5
3,4,738.8339617,,,,2.296898145,86.25
3,5,754.3779092,,,,3.316155194,115
3,6,765.5053773,,,,3.208343837,142.8632124
3,7,782.8362617,,,,3.599807742,169.152919
3,8,799.5748051,,,,2.216128036,201.1709831
3,1,815.106564,,,,3.425884532,229.7285938
3,2,830.3399689,,,,5.203097037,28.02702254
3,3,844.8435181,,,,3.019203803,47.64057265
3,4,856.7525395,,,,2.195549107,79.01188813
3,5,870.3825961,,,,1.774303661,112.9537171
3,6,883.879793,,,,2.107543092,140.2200064
3,7,898.2256084,,,,2.75223433,163.3434097
3,8,913.3898875,,,,1.778426862,193.6799112
3,1,929.89547,,,,2.219497451,227.7843605
