Car Index,Station Index,Arrival Time,,,,Position,Velocity
3,5,312.4607371,,,,130.7166049,3.206219141
3,6,323.3090736,,,,167.4266507,2.838744114
3,7,345.6686197,,,,193.9167818,2.520025992
3,8,362.3722925,,,,225.8771936,3.99897663
3,1,372.6965942,,,,19.30986048,3.380775459
3,2,387.2142136,,,,42.77393849,2.872929379
3,3,402.2249409,,,,74.3131523,2.740894339
3,4,417.5523903,,,,101.1737806,2.312206343
3,5,429.2961726,,,,130.5194952,2.554675459
3,6,442.4158273,,,,163.6548662,1.754276274
3,7,456.2000527,,,,195.1000863,2.384620486
3,8,469.6186483,,,,229.4255783,2.368182097
3,1,483.9218178,,,,21.47700466,2.542340446
3,2,498.4953537,,,,51.93134462,2.386510559
3,3,513.820409,,,,80.49724503,2.293618301
3,4,527.1169448,,,,105.1191053,2.505655104
3,6,539.6155252,,,,143.75,2.357042735
3,6,554.4899387,,,,166.2209485,2.401769716
3,7,571.6313563,,,,195.1538973,1.994869345
3,8,586.3854554,,,,228.2289713,2.741029784
3,2,600.203314,,,,28.75,2.660241045
3,2,618.602149,,,,52.22869975,2.050745165
3,3,633.9402743,,,,78.19616611,2.08109954
3,5,647.3782872,,,,115,1.930212437
3,6,665.0736534,,,,143.75,1.854601729
3,6,680.6488178,,,,165.9531929,2.327769941
3,7,696.1266455,,,,193.5115148,1.538766962
3,8,710.1092526,,,,229.1254857,2.345315576
3,1,723.841131,,,,21.42763538,2.114309888
3,3,737.233905,,,,57.5,2.330040502
3,3,751.2061094,,,,82.13341758,1.868498149
3,4,767.1839954,,,,106.6003664,2.67753501
3,5,781.5363024,,,,138.1921855,2.076572026
3,6,795.9271486,,,,161.0968251,1.909155703
3,7,809.4430022,,,,192.4261612,3.041821299
3,8,824.2821621,,,,229.9177984,1.778734264
3,1,840.3118207,,,,18.63364194,1.527426329
3,2,853.8746753,,,,49.6839292,2.207656805
3,3,867.9782515,,,,77.30684329,2.872872953
3,4,882.7619213,,,,108.6223984,2.117280089
3,6,897.3363651,,,,143.75,2.093307189
3,6,913.6648658,,,,164.1985103,1.436206112
3,7,926.3619296,,,,194.9890654,2.137754276
3,1,940.66066,,,,0,1.73145471
3,1,959.1160783,,,,21.18712232,1.547331605
3,2,975.8652387,,,,48.39677545,2.124792067
3,3,991.5232611,,,,78.02985525,1.812483316
3,4,1003.132618,,,,104.1264273,3.110774987
4,1,2.24162337,,,,23,2.565105305
4,2,15.40914754,,,,47.63786654,2.60509659
4,3,29.00640372,,,,80.60941492,1.542596029
4,4,43.35847304,,,,109.7775912,2.910547373
4,5,57.39330844,,,,139.0002482,2.40516987
4,6,71.03090913,,,,166.0443769,2.58236804
4,7,85.58259933,,,,193.6658025,1.978146984
4,8,100.7911476,,,,229.8996747,1.60154072
4,1,114.684263,,,,24.02834646,1.795897809
4,2,127.2726131,,,,51.48971924,2.335588062
4,3,142.1061445,,,,77.55846867,2.141835173
4,5,158.2218785,,,,115,2.932830016
4,5,173.5022579,,,,135.5774858,3.215592522
4,6,194.8797002,,,,167.8623284,2.23647471
4,7,209.8736711,,,,195.9112189,2.1430341
4,8,235.3799746,,,,228.2401863,3.434142006
4,1,243.5403685,,,,23.22902711,2.475226436
4,2,263.2439518,,,,52.61901127,3.315255987
4,3,282.6970773,,,,78.05573369,3.069814061
4,4,295.2931284,,,,100.8381304,3.904650253
4,5,308.3957014,,,,138.5105067,2.385179221
4,6,321.5218927,,,,162.214577,2.221622404
4,7,342.7586425,,,,195.1991359,3.481858782
4,8,361.3413271,,,,227.0150283,5.336740785
4,1,369.9042941,,,,20.27940788,5.040865472
4,2,382.0884136,,,,48.39927002,8.788700326
4,3,397.8698486,,,,79.81232098,2.189953693
4,4,411.5727253,,,,105.5743367,2.454664402
4,5,424.117235,,,,136.7496479,2.705264428
4,6,437.3737858,,,,161.9987189,2.332720263
4,7,453.6210622,,,,194.2085388,1.015371453
4,8,465.8946444,,,,229.6530705,2.393376907
4,1,481.0610698,,,,17.21074608,2.329076447
4,2,496.1619656,,,,46.80188923,1.768428325
4,3,511.3122519,,,,74.03090868,1.711330011
4,4,523.1735072,,,,106.3565402,2.448271967
4,6,536.6769445,,,,143.75,2.720088213
4,6,551.875595,,,,165.6637741,2.345274509
4,7,568.5754655,,,,196.8510722,2.163286045
4,8,584.9216778,,,,229.9135605,1.410651153
4,2,596.5622372,,,,28.75,2.49923133
4,2,616.0317174,,,,53.3280347,2.012817112
4,3,630.0702845,,,,81.64004388,2.659238087
4,5,645.3286527,,,,115,2.316856496
4,6,662.4404757,,,,143.75,2.139817462
4,6,677.8363375,,,,166.8820988,1.961281587
4,7,691.0976285,,,,197.119109,2.54713232
4,8,707.5417406,,,,228.0949427,2.542458653
4,1,720.3778901,,,,24.03238213,2.222543648
4,2,734.4216921,,,,50.4579236,2.396360483
4,3,749.002959,,,,77.98134048,2.099081686
4,4,764.0469183,,,,108.2642212,2.729354579
4,5,778.8598652,,,,137.7449533,2.086549202
4,6,789.9542598,,,,166.9370573,3.750600876
4,7,806.5421616,,,,197.0749085,2.43265232
4,8,820.5723241,,,,229.3941529,2.375392653
4,2,833.6886809,,,,28.75,2.703417007
4,2,850.3342379,,,,50.13606685,2.220173232
4,3,864.8652852,,,,80.50465789,1.931259464
4,4,879.7497541,,,,107.1019012,1.982845436
4,6,893.5920019,,,,143.75,2.199383773
4,6,907.8847138,,,,165.2715823,2.634001332
4,7,923.4331858,,,,194.4113341,2.310078963
4,8,936.8849653,,,,229.9333516,2.337566165
4,1,954.228388,,,,20.37338035,2.437106967
4,2,971.5809491,,,,51.26506975,2.374200613
4,3,986.9879671,,,,77.43239585,1.746619083
4,4,999.6371631,,,,106.4169521,2.498963508
5,2,11.62344013,,,,50.1953484,2.385124709
5,3,25.34985011,,,,81.57668925,2.576419818
5,4,41.56416833,,,,104.256603,2.044060185
5,5,55.41849916,,,,136.1868854,1.630835875
5,6,68.53102413,,,,162.1432554,2.737225104
5,7,81.74860846,,,,192.0715572,2.250119019
5,8,95.03781184,,,,228.5171631,1.882632918
5,1,112.0551303,,,,19.04643776,1.826455185
5,2,124.6992652,,,,49.00142466,2.355282838
5,3,138.0481612,,,,81.4172565,2.245929572
5,4,154.4107779,,,,109.6470998,1.74345288
5,5,170.9607312,,,,138.1651693,2.642393746
5,6,192.8060476,,,,166.6323403,2.193373393
5,7,207.3824457,,,,195.6992597,2.253234546
5,8,233.9190834,,,,225.4922217,4.857608081
5,1,241.3098765,,,,15.55605261,4.602326238
5,2,261.7716707,,,,48.40985982,1.440733272
5,3,280.0277735,,,,68.5045792,2.002572305
5,4,291.6662044,,,,88.15805231,2.882295963
5,5,306.199014,,,,120.1522816,2.238997448
5,6,316.8922027,,,,145.2190554,2.677764573
5,7,341.0208167,,,,178.4612102,1.077145562
5,8,360.3959334,,,,228.8599339,1.483862031
5,1,368.2239096,,,,0,3.672724496
5,2,381.0529101,,,,28.75,2.241016371
5,3,394.930207,,,,57.5,2.071729113
5,4,407.7328263,,,,92.63022772,2.147736354
5,5,421.5295574,,,,128.8501344,2.107017175
5,6,432.8720539,,,,163.8802842,2.78511046
5,7,446.6861999,,,,194.7165363,2.459194918
5,8,460.6905561,,,,229.2882793,2.262121901
5,1,476.1066365,,,,24.17388474,2.446273251
5,2,490.1124636,,,,48.35917623,2.209329339
5,4,504.1721379,,,,86.25,1.314829429
5,4,519.6430743,,,,108.1377924,1.85091328
5,6,534.1789055,,,,143.75,2.629694976
5,6,548.9607013,,,,168.2153861,2.552376126
5,7,566.5420184,,,,192.9287604,1.428842377
5,8,580.3328272,,,,229.971624,2.154585799
5,2,594.6038807,,,,28.75,2.027146128
5,2,613.9590177,,,,53.00213542,1.802707597
5,3,628.3367218,,,,79.40203015,1.982531015
5,5,642.9499861,,,,115,1.92756724
5,6,660.3679759,,,,143.75,1.799362623
5,6,674.9719343,,,,164.7790868,1.909051319
5,7,689.4758474,,,,196.5636778,1.474206788
5,8,705.6629207,,,,229.8873094,1.746811925
5,1,718.255269,,,,13.64206952,2.220643282
5,2,731.4830372,,,,45.84589681,2.854774115
