Car_1_Station,Car_1_ArrivalTime,Car_2_Station,Car_2_ArrivalTime,Car_3_Station,Car_3_ArrivalTime,Car_4_Station,Car_4_ArrivalTime,Car_5_Station,Car_5_ArrivalTime,Car_6_Station,Car_6_ArrivalTime,Car_7_Station,Car_7_ArrivalTime,Car_8_Station,Car_8_ArrivalTime,Car_9_Station,Car_9_ArrivalTime,Car_10_Station,Car_10_ArrivalTime,Car_11_Station,Car_11_ArrivalTime,Car_12_Station,Car_12_ArrivalTime,Car_13_Station,Car_13_ArrivalTime,Car_14_Station,Car_14_ArrivalTime,Car_15_Station,Car_15_ArrivalTime,Car_16_Station,Car_16_ArrivalTime,Car_17_Station,Car_17_ArrivalTime,Car_18_Station,Car_18_ArrivalTime,Car_19_Station,Car_19_ArrivalTime,Car_20_Station,Car_20_ArrivalTime,Car_21_Station,Car_21_ArrivalTime,Car_22_Station,Car_22_ArrivalTime,Car_23_Station,Car_23_ArrivalTime,Car_24_Station,Car_24_ArrivalTime,Car_25_Station,Car_25_ArrivalTime,Car_26_Station,Car_26_ArrivalTime,Car_27_Station,Car_27_ArrivalTime,Car_28_Station,Car_28_ArrivalTime,Car_29_Station,Car_29_ArrivalTime,Car_30_Station,Car_30_ArrivalTime
2,338.6,2,335.3,2,331.9,2,328.7,2,325.3,2,321.8,3,331.6,3,328,3,324.4,3,321.1,3,317.9,4,326.8,4,323.2,4,320.1,4,316.3,4,313,4,309.3,5,317.3,5,313.7,5,310.4,5,306.9,5,303.4,6,312,6,308.5,6,305.2,6,301.2,6,297.9,7,307.6,7,304.2,7,300.7
3,351.3,3,348.1,3,344.7,3,341.5,3,338.1,3,335.1,4,343.2,4,340.1,4,337,4,333.8,4,330.3,5,337.9,5,334.4,5,331,5,327.3,5,324.1,5,320.8,6,329.5,6,326.1,6,322.6,6,319.3,6,315.8,7,324.9,7,321.7,7,317.9,7,314.5,7,311,8,321.4,8,317.7,8,314.3
4,363.5,4,360.3,4,357,4,353.9,4,350.2,4,346.7,5,354.5,5,351.4,5,347.9,5,344.5,5,341,6,350.1,6,346.7,6,343.5,6,340.1,6,336.5,6,333.1,7,342.6,7,338.9,7,335.1,7,331.9,7,328.2,8,338.4,8,335.4,8,331.6,8,327.9,8,324.7,1,335.4,1,331.8,1,328.7
5,375.8,5,372.4,5,368.8,5,364.7,5,361.3,5,358,6,367.6,6,364.1,6,360.2,6,357.1,6,353.7,7,363.2,7,359.8,7,356.5,7,352.6,7,349.2,7,345.7,8,355.7,8,352.5,8,349.3,8,345.9,8,342,1,353,1,349.3,1,345.9,1,342.5,1,338.9,2,348.8,2,345.7,2,342.2
6,388.3,6,384.8,6,381.3,6,377.8,6,374.3,6,370.6,7,380.5,7,376.8,7,373.3,7,370,7,366.6,8,376.4,8,372.7,8,369.6,8,366.1,8,362.4,8,359.4,1,369.8,1,366.3,1,363.1,1,359.7,1,356.4,2,365.3,2,362.2,2,358.6,2,355.3,2,352,3,361.7,3,358.3,3,354.5
7,400.7,7,397.4,7,393.8,7,390.5,7,386.9,7,384,8,394.1,8,390.6,8,387.1,8,383.4,8,380.1,1,390.4,1,387,1,383.2,1,379.8,1,376.6,1,373,2,382.6,2,379.2,2,375.9,2,372.3,2,368.8,3,378.1,3,374.8,3,371.6,3,368.3,3,365,4,374,4,370.7,4,367.1
8,414.9,8,411.2,8,407.5,8,404.4,8,400.9,8,397.2,1,407.7,1,404.3,1,400.8,1,397.1,1,393.9,2,403.3,2,399.8,2,395.9,2,392.3,2,389.7,2,386.2,3,395.3,3,391.7,3,388.4,3,384.7,3,381.3,4,390.8,4,387.2,4,384.2,4,380.8,4,377.2,5,386.2,5,382.5,5,379.3
1,428.3,1,424.6,1,421.2,1,417.6,1,414.4,1,411,2,420.1,2,417,2,413.3,2,410.2,2,406.8,3,415.4,3,412.1,3,409,3,405.6,3,402.2,3,398.6,4,407.3,4,404,4,400.8,4,397.2,4,394,5,403.6,5,399.7,5,396.1,5,393,5,389.6,6,398.5,6,395.5,6,392.1
2,440.6,2,437.1,2,433.8,2,430.5,2,427.1,2,423.7,3,432.3,3,429.3,3,425.8,3,422.6,3,419.1,4,427.6,4,424.4,4,421,4,417.6,4,414.2,4,410.8,5,420.7,5,417.3,5,413.8,5,410.3,5,406.9,6,415.5,6,412.2,6,409.1,6,405.8,6,402.2,7,411.5,7,407.8,7,404.5
3,452.9,3,449.8,3,446.6,3,443,3,439.6,3,436.2,4,445.1,4,441.4,4,438.2,4,434.8,4,431.2,5,440.8,5,437.3,5,433.7,5,430.8,5,427.5,5,424,6,432.9,6,429.5,6,426.3,6,422.9,6,418.9,7,428.5,7,425.2,7,421.6,7,418.4,7,414.7,8,425.1,8,421.4,8,418.3
